,forecast,lower_ci,upper_ci
2024-11-01,1375577.9608082967,-1011933.9307200089,3763089.8523366023
2024-12-01,1021102.4901672374,-1560544.3091198164,3602749.289454291
2025-01-01,1152322.9078555217,-1470439.2140811717,3775085.0297922147
2025-02-01,1160118.064049215,-1462644.0579102514,3782880.1860086815
2025-03-01,1361645.1922585377,-1261116.9297009287,3984407.3142180042
2025-04-01,1019991.3838894954,-1602770.7334494325,3642753.5012284233
2025-05-01,2361634.627653788,-261127.48968514008,4984396.744992716
2025-06-01,2050514.1063544776,-572248.0109844508,4673276.223693406
2025-07-01,1236192.5300587867,-1386569.5872801417,3858954.647397715
2025-08-01,1434974.7622324685,-1187787.3551064595,4057736.8795713964
2025-09-01,1207784.3092311593,-1414977.8081077687,3830546.426570087
2025-10-01,1481733.884242451,-1141028.2330964773,4104496.001581379
2025-11-01,1045276.1672457075,-1577495.1717686672,3668047.506260082
2025-12-01,1560195.2556685235,-1062577.6439926892,4182968.155329736
2026-01-01,946660.590659544,-1676112.6551628741,3569433.836481962
2026-02-01,1083033.7181611073,-1539739.5278020923,3705806.964124307
2026-03-01,1286456.9361677654,-1336316.3097954341,3909230.182130965
2026-04-01,1088339.5507744704,-1534433.6949120453,3711112.796460986
2026-05-01,2023559.2987949308,-599213.9468915854,4646332.544481447
2026-06-01,1842704.4979173394,-780068.7477691767,4465477.743603855
2026-07-01,1315888.826827932,-1306884.4188585842,3938662.0725144483
2026-08-01,2289111.180807369,-333662.06487914734,4911884.426493885
2026-09-01,2560861.3529776325,-61911.89270888362,5183634.598664149
2026-10-01,1702616.3407843884,-920156.9049021278,4325389.586470905
2026-11-01,1097180.5930042297,-1618557.2509626232,3812918.4369710824
2026-12-01,1494154.3880570552,-1237003.4463069115,4225312.222421022
2027-01-01,946660.590659544,-1787905.828167844,3681227.009486932
2027-02-01,1083033.7181611073,-1651532.700801307,3817600.1371235214
2027-03-01,1286456.9361677654,-1448109.4827946485,4021023.3551301793
2027-04-01,1088339.5507744704,-1646226.8679225715,3822905.9694715124
2027-05-01,2023559.2987949308,-711007.1199021111,4758125.717491973
2027-06-01,1842704.4979173394,-891861.920779703,4577270.916614382
2027-07-01,1315888.826827932,-1418677.5918691105,4050455.2455249745
2027-08-01,2289111.180807369,-445455.2378896731,5023677.599504411
2027-09-01,2560861.3529776325,-173705.06571940938,5295427.771674674
2027-10-01,1702616.3407843884,-1031950.077912654,4437182.759481431
